('应用',) : 0.134868
('保险公司', '识别') : 0.108553
('制造业', '道德风险') : 0.121711
('保留', '识别') : 0.118421
('模式', '作用') : 0.101974
('个性化', '利润') : 0.101974
('个性化', '保险公司') : 0.108553
('识别', '网站') : 0.118421
('提高质量', '成本') : 0.125000
('保险公司', '利润') : 0.190789
('保留', '网站') : 0.118421
('用户', '道德风险') : 0.108553
('数据', '客户') : 0.128289
('用户', '识别') : 0.125000
('购买', '利润') : 0.105263
('数据', '网站') : 0.105263
('商场', '购物券') : 0.105263
('数据', '提高质量') : 0.151316
('个性化', '模式') : 0.121711
('数据', '避免') : 0.134868
('购买', '道德风险') : 0.105263
('网站', '电子商务') : 0.121711
('用户', '利润') : 0.115132
('促销', '商品') : 0.115132
('用户', '保险公司') : 0.118421
('购买', '销售额') : 0.115132
('数据', '应用') : 0.118421
('制造业', '避免') : 0.121711
('保留', '个性化') : 0.118421
('制造业', '提高质量') : 0.148026
('利润', '道德风险') : 0.187500
('制造业', '成本') : 0.125000
('商场', '商品') : 0.118421
('销售额', '商品') : 0.115132
('数据', '电子商务') : 0.105263
('购物券', '规则') : 0.111842
('制造业', '保险公司') : 0.134868
('数据', '半导体') : 0.151316
('保险公司', '商品') : 0.118421
('购物券', '促销') : 0.111842
('避免', '成本') : 0.187500
('客户', '网站') : 0.118421
('手段', '销售额') : 0.115132
('购买', '商品') : 0.157895
('手段', '购物券') : 0.111842
('数据', '成本') : 0.138158
('用户', '保留') : 0.118421
('半导体', '道德风险') : 0.121711
('商场', '打折') : 0.108553
('购物券', '销售额') : 0.111842
('规则', '商品') : 0.115132
('模式', '网站') : 0.118421
('用户', '商品') : 0.101974
('规则', '销售额') : 0.115132
('成本', '购买') : 0.105263
('数据', '利润') : 0.138158
('识别', '模式') : 0.131579
('手段', '商品') : 0.115132
('购买', '购物券') : 0.111842
('促销', '规则') : 0.115132
('避免', '保险公司') : 0.187500
('成本', '商品') : 0.105263
('数据', '模式') : 0.121711
('保险公司', '道德风险') : 0.187500
('识别', '客户') : 0.128289
('商场', '销售额') : 0.108553
('制造业', '利润') : 0.121711
('避免', '道德风险') : 0.187500
('数据', '识别') : 0.131579
('保险公司', '购买') : 0.111842
('利润', '规则') : 0.101974
('数据', '个性化') : 0.125000
('商场', '规则') : 0.108553
('识别', '电子商务') : 0.121711
('制造业', '半导体') : 0.154605
('识别', '作用') : 0.101974
('数据', '保险公司') : 0.157895
('保留', '模式') : 0.115132
('避免', '购买') : 0.105263
('道德风险', '商品') : 0.105263
('利润', '客户') : 0.105263
('提高质量', '保险公司') : 0.125000
('购买', '促销') : 0.118421
('个性化', '网站') : 0.134868
('保险公司', '客户') : 0.101974
('提高质量', '利润') : 0.121711
('保留', '客户') : 0.118421
('打折', '购物券') : 0.111842
('用户', '数据') : 0.151316
('成本', '道德风险') : 0.187500
('模式', '电子商务') : 0.121711
('提高质量', '避免') : 0.121711
('提高质量', '道德风险') : 0.121711
('购买', '规则') : 0.118421
('半导体', '成本') : 0.125000
('商场', '购买', '购物券') : 0.105263
('用户', '模式', '识别') : 0.121711
('提高质量', '利润', '道德风险') : 0.121711
('保险公司', '成本', '道德风险') : 0.187500
('用户', '模式', '保留') : 0.115132
('避免', '道德风险', '商品') : 0.105263
('提高质量', '保险公司', '道德风险') : 0.121711
('提高质量', '避免', '利润') : 0.121711
('购买', '手段', '购物券') : 0.111842
('成本', '利润', '道德风险') : 0.187500
('打折', '购物券', '商品') : 0.111842
('用户', '模式', '网站') : 0.118421
('成本', '道德风险', '商品') : 0.105263
('避免', '保险公司', '道德风险') : 0.187500
('商场', '销售额', '商品') : 0.108553
('制造业', '避免', '成本') : 0.121711
('商场', '购物券', '规则') : 0.105263
('用户', '模式', '个性化') : 0.121711
('保留', '客户', '网站') : 0.118421
('打折', '手段', '促销') : 0.115132
('提高质量', '成本', '道德风险') : 0.121711
('商场', '购物券', '促销') : 0.105263
('保险公司', '商场', '商品') : 0.101974
('用户', '保险公司', '模式') : 0.101974
('购物券', '手段', '打折') : 0.111842
('购买', '打折', '商品') : 0.115132
('提高质量', '避免', '道德风险') : 0.121711
('促销', '规则', '商品') : 0.115132
('商场', '手段', '销售额') : 0.108553
('提高质量', '保险公司', '利润') : 0.121711
('利润', '道德风险', '商品') : 0.105263
('保留', '识别', '客户') : 0.118421
('半导体', '避免', '道德风险') : 0.121711
('个性化', '识别', '电子商务') : 0.121711
('购买', '避免', '利润') : 0.105263
('购物券', '打折', '促销') : 0.111842
('保留', '个性化', '电子商务') : 0.118421
('商场', '手段', '购物券') : 0.105263
('提高质量', '半导体', '道德风险') : 0.121711
('数据', '保险公司', '利润') : 0.134868
('半导体', '利润', '制造业') : 0.121711
('用户', '避免', '道德风险') : 0.108553
('提高质量', '成本', '数据') : 0.125000
('手段', '打折', '销售额') : 0.115132
('商场', '购物券', '销售额') : 0.105263
('成本', '购买', '商品') : 0.105263
('数据', '避免', '提高质量') : 0.121711
('购买', '避免', '保险公司') : 0.105263
('商场', '规则', '商品') : 0.108553
('手段', '促销', '商品') : 0.115132
('商场', '规则', '销售额') : 0.108553
('购买', '避免', '成本') : 0.105263
('购买', '购物券', '促销') : 0.111842
('购买', '打折', '促销') : 0.115132
('半导体', '保险公司', '道德风险') : 0.121711
('数据', '制造业', '道德风险') : 0.121711
('识别', '客户', '电子商务') : 0.118421
('保留', '识别', '模式') : 0.115132
('购买', '保险公司', '利润') : 0.105263
('保险公司', '购买', '商品') : 0.111842
('购买', '手段', '销售额') : 0.115132
('保留', '客户', '电子商务') : 0.118421
('保留', '网站', '电子商务') : 0.118421
('商场', '购买', '销售额') : 0.108553
('购物券', '规则', '促销') : 0.111842
('用户', '识别', '电子商务') : 0.121711
('商品', '打折', '促销') : 0.115132
('避免', '利润', '道德风险') : 0.187500
('商场', '手段', '商品') : 0.108553
('保留', '用户', '电子商务') : 0.118421
('用户', '模式', '客户') : 0.118421
('半导体', '保险公司', '数据') : 0.128289
('商场', '促销', '规则') : 0.108553
('手段', '销售额', '商品') : 0.115132
('购买', '购物券', '销售额') : 0.111842
('购买', '打折', '销售额') : 0.115132
('个性化', '识别', '客户') : 0.118421
('购买', '手段', '打折') : 0.115132
('个性化', '客户', '保留') : 0.118421
('提高质量', '成本', '制造业') : 0.125000
('购买', '促销', '商品') : 0.115132
('购物券', '手段', '促销') : 0.111842
('购买', '手段', '规则') : 0.115132
('保险公司', '利润', '道德风险') : 0.187500
('购物券', '规则', '商品') : 0.111842
('模式', '网站', '电子商务') : 0.115132
('模式', '客户', '电子商务') : 0.118421
('避免', '利润', '保险公司') : 0.187500
('成本', '利润', '商品') : 0.105263
('提高质量', '避免', '成本') : 0.121711
('商场', '购买', '商品') : 0.118421
('数据', '避免', '成本') : 0.134868
('个性化', '模式', '客户') : 0.115132
('数据', '避免', '道德风险') : 0.134868
('购买', '商品', '销售额') : 0.115132
('用户', '识别', '网站') : 0.118421
('手段', '购物券', '销售额') : 0.111842
('用户', '识别', '客户') : 0.118421
('半导体', '保险公司', '制造业') : 0.131579
('购买', '成本', '利润') : 0.105263
('用户', '客户', '保留') : 0.118421
('用户', '模式', '电子商务') : 0.121711
('保险公司', '模式', '识别') : 0.105263
('用户', '成本', '道德风险') : 0.108553
('模式', '客户', '识别') : 0.115132
('保留', '模式', '客户') : 0.115132
('购物券', '销售额', '商品') : 0.111842
('数据', '保险公司', '成本') : 0.138158
('制造业', '成本', '半导体') : 0.125000
('半导体', '利润', '道德风险') : 0.121711
('半导体', '避免', '保险公司') : 0.121711
('数据', '避免', '制造业') : 0.121711
('手段', '规则', '销售额') : 0.115132
('数据', '成本', '利润') : 0.134868
('用户', '识别', '个性化') : 0.125000
('数据', '避免', '保险公司') : 0.134868
('购买', '利润', '商品') : 0.105263
('商品', '促销', '销售额') : 0.115132
('半导体', '避免', '制造业') : 0.121711
('用户', '客户', '电子商务') : 0.121711
('提高质量', '保险公司', '半导体') : 0.125000
('制造业', '避免', '提高质量') : 0.121711
('模式', '客户', '网站') : 0.115132
('制造业', '成本', '道德风险') : 0.121711
('用户', '个性化', '保留') : 0.118421
('个性化', '识别', '网站') : 0.118421
('保险公司', '利润', '商品') : 0.105263
('成本', '利润', '避免') : 0.187500
('用户', '个性化', '数据') : 0.115132
('半导体', '利润', '数据') : 0.121711
('制造业', '保险公司', '利润') : 0.121711
('打折', '规则', '销售额') : 0.115132
('个性化', '模式', '电子商务') : 0.118421
('商场', '打折', '规则') : 0.108553
('手段', '促销', '规则') : 0.115132
('保险公司', '道德风险', '商品') : 0.105263
('避免', '成本', '道德风险') : 0.187500
('提高质量', '数据', '半导体') : 0.148026
('制造业', '保险公司', '提高质量') : 0.125000
('制造业', '成本', '利润') : 0.121711
('模式', '作用', '识别') : 0.101974
('制造业', '利润', '提高质量') : 0.121711
('识别', '模式', '电子商务') : 0.118421
('购买', '购物券', '商品') : 0.111842
('数据', '成本', '半导体') : 0.125000
('制造业', '保险公司', '成本') : 0.125000
('用户', '客户', '数据') : 0.105263
('购买', '规则', '销售额') : 0.115132
('制造业', '避免', '利润') : 0.121711
('商场', '打折', '促销') : 0.108553
('保留', '模式', '电子商务') : 0.115132
('个性化', '客户', '电子商务') : 0.118421
('数据', '道德风险', '提高质量') : 0.121711
('用户', '避免', '成本') : 0.108553
('商场', '手段', '打折') : 0.108553
('提高质量', '成本', '半导体') : 0.125000
('用户', '保险公司', '利润') : 0.111842
('用户', '保留', '网站') : 0.118421
('手段', '规则', '商品') : 0.115132
('半导体', '避免', '成本') : 0.121711
('规则', '销售额', '商品') : 0.115132
('商场', '手段', '促销') : 0.108553
('保留', '识别', '用户') : 0.118421
('商场', '购买', '保险公司') : 0.101974
('手段', '促销', '销售额') : 0.115132
('商场', '打折', '销售额') : 0.108553
('数据', '成本', '道德风险') : 0.134868
('购买', '利润', '道德风险') : 0.105263
('购买', '促销', '规则') : 0.115132
('商场', '打折', '商品') : 0.108553
('数据', '避免', '利润') : 0.134868
('用户', '保险公司', '道德风险') : 0.108553
('用户', '个性化', '网站') : 0.121711
('数据', '利润', '提高质量') : 0.121711
('用户', '保险公司', '成本') : 0.108553
('提高质量', '制造业', '半导体') : 0.148026
('数据', '保险公司', '提高质量') : 0.125000
('手段', '购物券', '商品') : 0.111842
('客户', '网站', '电子商务') : 0.118421
('用户', '避免', '保险公司') : 0.108553
('用户', '利润', '道德风险') : 0.108553
('商场', '手段', '规则') : 0.108553
('促销', '规则', '销售额') : 0.115132
('数据', '半导体', '制造业') : 0.151316
('避免', '成本', '商品') : 0.105263
('商场', '购买', '打折') : 0.108553
('提高质量', '成本', '利润') : 0.121711
('购买', '手段', '促销') : 0.115132
('保留', '个性化', '网站') : 0.118421
('数据', '制造业', '提高质量') : 0.148026
('个性化', '保险公司', '利润') : 0.101974
('个性化', '客户', '网站') : 0.118421
('提高质量', '避免', '保险公司') : 0.121711
('购买', '规则', '商品') : 0.115132
('商场', '购买', '促销') : 0.111842
('个性化', '识别', '保留') : 0.118421
('购物券', '规则', '销售额') : 0.111842
('购买', '促销', '销售额') : 0.115132
('制造业', '道德风险', '提高质量') : 0.121711
('制造业', '利润', '道德风险') : 0.121711
('半导体', '避免', '数据') : 0.121711
('保留', '识别', '网站') : 0.118421
('制造业', '避免', '保险公司') : 0.121711
('打折', '商场', '购物券') : 0.105263
('保险公司', '成本', '商品') : 0.105263
('购物券', '打折', '销售额') : 0.111842
('打折', '规则', '商品') : 0.115132
('打折', '销售额', '促销') : 0.115132
('购物券', '促销', '销售额') : 0.111842
('商场', '购买', '规则') : 0.108553
('半导体', '保险公司', '利润') : 0.121711
('用户', '保险公司', '个性化') : 0.105263
('数据', '利润', '制造业') : 0.121711
('购买', '购物券', '规则') : 0.111842
('避免', '购买', '商品') : 0.105263
('用户', '客户', '网站') : 0.118421
('购买', '保险公司', '成本') : 0.105263
('商场', '促销', '销售额') : 0.108553
('购买', '道德风险', '商品') : 0.105263
('个性化', '网站', '电子商务') : 0.118421
('商场', '购物券', '商品') : 0.105263
('制造业', '半导体', '道德风险') : 0.121711
('数据', '保险公司', '道德风险') : 0.134868
('购买', '商场', '手段') : 0.108553
('用户', '保险公司', '客户') : 0.101974
('商品', '打折', '销售额') : 0.115132
('半导体', '避免', '利润') : 0.121711
('购物券', '打折', '规则') : 0.111842
('用户', '成本', '利润') : 0.108553
('识别', '模式', '网站') : 0.115132
('成本', '购买', '道德风险') : 0.105263
('促销', '购物券', '商品') : 0.111842
('手段', '打折', '规则') : 0.115132
('手段', '购物券', '规则') : 0.111842
('制造业', '避免', '道德风险') : 0.121711
('保险公司', '成本', '避免') : 0.187500
('用户', '网站', '电子商务') : 0.118421
('提高质量', '保险公司', '成本') : 0.125000
('识别', '客户', '网站') : 0.118421
('成本', '利润', '保险公司') : 0.187500
('避免', '利润', '商品') : 0.105263
('用户', '个性化', '电子商务') : 0.121711
('数据', '购买', '商品') : 0.101974
('数据', '半导体', '道德风险') : 0.121711
('制造业', '保险公司', '道德风险') : 0.121711
('避免', '保险公司', '商品') : 0.105263
('保险公司', '购买', '道德风险') : 0.105263
('个性化', '识别', '模式') : 0.121711
('购买', '打折', '规则') : 0.115132
('个性化', '模式', '保留') : 0.115132
('提高质量', '避免', '半导体') : 0.121711
('个性化', '模式', '网站') : 0.115132
('半导体', '成本', '道德风险') : 0.121711
('购买', '手段', '商品') : 0.115132
('数据', '保险公司', '制造业') : 0.131579
('用户', '避免', '利润') : 0.108553
('提高质量', '利润', '半导体') : 0.121711
('半导体', '保险公司', '成本') : 0.125000
('数据', '成本', '制造业') : 0.125000
('避免', '购买', '道德风险') : 0.105263
('保留', '识别', '电子商务') : 0.118421
('用户', '利润', '客户') : 0.101974
('购物券', '购买', '打折') : 0.111842
('商场', '促销', '商品') : 0.108553
('识别', '网站', '电子商务') : 0.118421
('手段', '打折', '商品') : 0.115132
('数据', '利润', '道德风险') : 0.134868
('用户', '客户', '个性化') : 0.118421
('保留', '模式', '网站') : 0.115132
('半导体', '成本', '利润') : 0.121711
('打折', '规则', '促销') : 0.115132
('用户', '模式', '客户', '识别') : 0.115132
('制造业', '数据', '利润', '半导体') : 0.121711
('个性化', '客户', '网站', '电子商务') : 0.118421
('个性化', '模式', '客户', '识别') : 0.115132
('保险公司', '利润', '道德风险', '半导体') : 0.121711
('利润', '道德风险', '半导体', '成本') : 0.121711
('数据', '避免', '利润', '道德风险') : 0.134868
('避免', '保险公司', '提高质量', '半导体') : 0.121711
('购买', '手段', '购物券', '促销') : 0.111842
('数据', '保险公司', '提高质量', '半导体') : 0.125000
('用户', '模式', '网站', '识别') : 0.115132
('手段', '规则', '销售额', '促销') : 0.115132
('购买', '手段', '购物券', '销售额') : 0.111842
('避免', '保险公司', '道德风险', '商品') : 0.105263
('制造业', '利润', '提高质量', '成本') : 0.121711
('避免', '利润', '道德风险', '商品') : 0.105263
('购买', '购物券', '规则', '打折') : 0.111842
('制造业', '避免', '保险公司', '成本') : 0.121711
('个性化', '网站', '电子商务', '识别') : 0.118421
('购买', '购物券', '规则', '销售额') : 0.111842
('个性化', '模式', '网站', '保留') : 0.115132
('用户', '利润', '道德风险', '成本') : 0.108553
('制造业', '保险公司', '利润', '半导体') : 0.121711
('制造业', '半导体', '提高质量', '成本') : 0.125000
('用户', '网站', '电子商务', '识别') : 0.118421
('用户', '模式', '网站', '保留') : 0.115132
('数据', '避免', '制造业', '半导体') : 0.121711
('商场', '手段', '购物券', '规则') : 0.105263
('手段', '购物券', '商品', '促销') : 0.111842
('个性化', '网站', '保留', '识别') : 0.118421
('利润', '道德风险', '商品', '成本') : 0.105263
('商场', '购买', '商品', '促销') : 0.108553
('商场', '购物券', '规则', '商品') : 0.105263
('手段', '销售额', '打折', '促销') : 0.115132
('模式', '客户', '电子商务', '保留') : 0.115132
('模式', '客户', '网站', '电子商务') : 0.115132
('客户', '网站', '保留', '识别') : 0.118421
('个性化', '网站', '电子商务', '保留') : 0.118421
('购买', '规则', '销售额', '打折') : 0.115132
('购物券', '销售额', '打折', '促销') : 0.111842
('商场', '手段', '规则', '商品') : 0.108553
('商场', '商品', '购买', '销售额') : 0.108553
('保险公司', '购买', '道德风险', '成本') : 0.105263
('制造业', '避免', '半导体', '成本') : 0.121711
('个性化', '用户', '客户', '保留') : 0.118421
('商场', '购物券', '规则', '打折') : 0.105263
('制造业', '数据', '半导体', '成本') : 0.125000
('手段', '购物券', '销售额', '促销') : 0.111842
('模式', '电子商务', '保留', '识别') : 0.115132
('避免', '保险公司', '购买', '道德风险') : 0.105263
('避免', '购买', '利润', '道德风险') : 0.105263
('数据', '避免', '道德风险', '成本') : 0.134868
('手段', '购物券', '打折', '促销') : 0.111842
('商场', '商品', '规则', '销售额') : 0.108553
('制造业', '利润', '道德风险', '半导体') : 0.121711
('购物券', '规则', '商品', '打折') : 0.111842
('商场', '手段', '销售额', '促销') : 0.108553
('用户', '避免', '保险公司', '成本') : 0.108553
('数据', '利润', '道德风险', '成本') : 0.134868
('半导体', '保险公司', '提高质量', '成本') : 0.125000
('商场', '商品', '销售额', '打折') : 0.108553
('利润', '购买', '道德风险', '商品') : 0.105263
('客户', '网站', '电子商务', '识别') : 0.118421
('规则', '销售额', '打折', '促销') : 0.115132
('商场', '手段', '规则', '打折') : 0.108553
('制造业', '避免', '道德风险', '提高质量') : 0.121711
('手段', '商品', '打折', '促销') : 0.115132
('避免', '利润', '道德风险', '成本') : 0.187500
('用户', '客户', '电子商务', '保留') : 0.118421
('商场', '手段', '购物券', '打折') : 0.105263
('购买', '购物券', '商品', '销售额') : 0.111842
('手段', '购物券', '规则', '商品') : 0.111842
('个性化', '客户', '电子商务', '保留') : 0.118421
('商场', '购买', '打折', '促销') : 0.108553
('购买', '规则', '商品', '促销') : 0.115132
('手段', '规则', '打折', '促销') : 0.115132
('用户', '个性化', '网站', '识别') : 0.118421
('个性化', '模式', '电子商务', '识别') : 0.118421
('商场', '购买', '销售额', '打折') : 0.108553
('购买', '手段', '销售额', '促销') : 0.115132
('保险公司', '利润', '商品', '成本') : 0.105263
('利润', '道德风险', '提高质量', '成本') : 0.121711
('用户', '模式', '客户', '保留') : 0.115132
('避免', '保险公司', '提高质量', '成本') : 0.121711
('制造业', '避免', '保险公司', '道德风险') : 0.121711
('用户', '个性化', '客户', '电子商务') : 0.118421
('模式', '网站', '电子商务', '识别') : 0.115132
('避免', '利润', '商品', '成本') : 0.105263
('数据', '制造业', '利润', '道德风险') : 0.121711
('半导体', '道德风险', '提高质量', '成本') : 0.121711
('保险公司', '购买', '利润', '商品') : 0.105263
('商场', '手段', '购买', '销售额') : 0.108553
('购买', '购物券', '销售额', '打折') : 0.111842
('数据', '避免', '利润', '成本') : 0.134868
('避免', '利润', '道德风险', '提高质量') : 0.121711
('保险公司', '避免', '道德风险', '成本') : 0.187500
('商场', '购买', '手段', '打折') : 0.108553
('数据', '避免', '利润', '半导体') : 0.121711
('半导体', '避免', '道德风险', '提高质量') : 0.121711
('数据', '避免', '道德风险', '提高质量') : 0.121711
('避免', '购买', '商品', '成本') : 0.105263
('制造业', '保险公司', '提高质量', '半导体') : 0.125000
('购买', '规则', '销售额', '促销') : 0.115132
('用户', '保险公司', '利润', '道德风险') : 0.108553
('购买', '利润', '商品', '成本') : 0.105263
('商场', '购买', '购物券', '促销') : 0.105263
('半导体', '保险公司', '道德风险', '提高质量') : 0.121711
('用户', '避免', '保险公司', '道德风险') : 0.108553
('网站', '电子商务', '保留', '识别') : 0.118421
('半导体', '利润', '道德风险', '提高质量') : 0.121711
('购物券', '商品', '打折', '促销') : 0.111842
('手段', '购物券', '规则', '打折') : 0.111842
('保险公司', '购买', '商品', '成本') : 0.105263
('商场', '购物券', '规则', '促销') : 0.105263
('制造业', '保险公司', '利润', '道德风险') : 0.121711
('制造业', '道德风险', '提高质量', '成本') : 0.121711
('手段', '购物券', '规则', '销售额') : 0.111842
('商场', '购买', '购物券', '销售额') : 0.105263
('商品', '打折', '销售额', '促销') : 0.115132
('购物券', '商品', '打折', '销售额') : 0.111842
('商场', '规则', '商品', '打折') : 0.108553
('模式', '客户', '电子商务', '识别') : 0.115132
('制造业', '保险公司', '道德风险', '半导体') : 0.121711
('商场', '打折', '购物券', '促销') : 0.105263
('用户', '客户', '网站', '识别') : 0.118421
('数据', '道德风险', '提高质量', '成本') : 0.121711
('个性化', '电子商务', '保留', '识别') : 0.118421
('个性化', '用户', '客户', '识别') : 0.118421
('模式', '网站', '保留', '识别') : 0.115132
('制造业', '避免', '道德风险', '半导体') : 0.121711
('购买', '销售额', '打折', '促销') : 0.115132
('避免', '购买', '利润', '商品') : 0.105263
('用户', '避免', '利润', '成本') : 0.108553
('用户', '保险公司', '道德风险', '成本') : 0.108553
('避免', '利润', '保险公司', '商品') : 0.105263
('商场', '购买', '规则', '商品') : 0.108553
('个性化', '客户', '网站', '保留') : 0.118421
('数据', '保险公司', '道德风险', '半导体') : 0.121711
('制造业', '保险公司', '道德风险', '成本') : 0.121711
('个性化', '用户', '电子商务', '识别') : 0.121711
('规则', '商品', '促销', '销售额') : 0.115132
('商场', '销售额', '打折', '促销') : 0.108553
('制造业', '数据', '利润', '提高质量') : 0.121711
('利润', '购买', '道德风险', '成本') : 0.105263
('购买', '购物券', '商品', '打折') : 0.111842
('用户', '客户', '网站', '保留') : 0.118421
('数据', '保险公司', '利润', '道德风险') : 0.134868
('半导体', '制造业', '道德风险', '提高质量') : 0.121711
('商场', '手段', '商品', '打折') : 0.108553
('保险公司', '购买', '利润', '道德风险') : 0.105263
('制造业', '道德风险', '半导体', '成本') : 0.121711
('数据', '半导体', '制造业', '提高质量') : 0.148026
('用户', '模式', '客户', '网站') : 0.115132
('用户', '客户', '电子商务', '识别') : 0.118421
('商场', '购买', '销售额', '促销') : 0.108553
('制造业', '利润', '道德风险', '提高质量') : 0.121711
('避免', '保险公司', '商品', '成本') : 0.105263
('购买', '手段', '规则', '销售额') : 0.115132
('购买', '手段', '购物券', '商品') : 0.111842
('购买', '购物券', '规则', '促销') : 0.111842
('制造业', '保险公司', '道德风险', '提高质量') : 0.121711
('用户', '模式', '电子商务', '保留') : 0.115132
('数据', '制造业', '保险公司', '道德风险') : 0.121711
('购买', '手段', '规则', '促销') : 0.115132
('个性化', '模式', '客户', '网站') : 0.115132
('商场', '购买', '规则', '打折') : 0.108553
('商场', '手段', '购买', '商品') : 0.108553
('购买', '商品', '打折', '促销') : 0.115132
('购买', '手段', '规则', '打折') : 0.115132
('避免', '购买', '保险公司', '商品') : 0.105263
('客户', '电子商务', '保留', '识别') : 0.118421
('手段', '商品', '购物券', '销售额') : 0.111842
('避免', '购买', '道德风险', '成本') : 0.105263
('用户', '客户', '网站', '电子商务') : 0.118421
('个性化', '模式', '电子商务', '保留') : 0.115132
('个性化', '模式', '网站', '电子商务') : 0.115132
('购买', '规则', '打折', '促销') : 0.115132
('数据', '避免', '道德风险', '半导体') : 0.121711
('个性化', '模式', '网站', '识别') : 0.115132
('数据', '避免', '制造业', '保险公司') : 0.121711
('数据', '保险公司', '利润', '成本') : 0.134868
('制造业', '保险公司', '避免', '半导体') : 0.121711
('保险公司', '道德风险', '半导体', '成本') : 0.121711
('避免', '利润', '半导体', '成本') : 0.121711
('用户', '个性化', '客户', '网站') : 0.118421
('数据', '利润', '半导体', '成本') : 0.121711
('商场', '规则', '销售额', '打折') : 0.108553
('避免', '道德风险', '商品', '成本') : 0.105263
('数据', '利润', '提高质量', '半导体') : 0.121711
('数据', '保险公司', '半导体', '成本') : 0.125000
('制造业', '避免', '利润', '保险公司') : 0.121711
('避免', '道德风险', '提高质量', '成本') : 0.121711
('避免', '利润', '保险公司', '提高质量') : 0.121711
('保险公司', '利润', '道德风险', '成本') : 0.187500
('商场', '购物券', '销售额', '促销') : 0.105263
('手段', '规则', '商品', '打折') : 0.115132
('手段', '购物券', '销售额', '打折') : 0.111842
('商场', '规则', '商品', '促销') : 0.108553
('数据', '保险公司', '利润', '避免') : 0.134868
('手段', '商品', '规则', '销售额') : 0.115132
('数据', '保险公司', '利润', '提高质量') : 0.121711
('用户', '网站', '保留', '识别') : 0.118421
('避免', '保险公司', '道德风险', '半导体') : 0.121711
('购物券', '规则', '销售额', '打折') : 0.111842
('数据', '制造业', '道德风险', '提高质量') : 0.121711
('手段', '商品', '促销', '销售额') : 0.115132
('商场', '手段', '规则', '销售额') : 0.108553
('商场', '商品', '销售额', '促销') : 0.108553
('数据', '避免', '保险公司', '提高质量') : 0.121711
('手段', '商品', '销售额', '打折') : 0.115132
('数据', '利润', '道德风险', '半导体') : 0.121711
('数据', '保险公司', '避免', '半导体') : 0.121711
('商场', '购物券', '商品', '促销') : 0.105263
('购物券', '规则', '打折', '促销') : 0.111842
('商场', '购物券', '商品', '打折') : 0.105263
('商场', '手段', '规则', '促销') : 0.108553
('避免', '保险公司', '利润', '道德风险') : 0.187500
('商场', '手段', '购物券', '促销') : 0.105263
('商品', '规则', '销售额', '打折') : 0.115132
('购买', '手段', '商品', '打折') : 0.115132
('商场', '购买', '手段', '规则') : 0.108553
('数据', '半导体', '提高质量', '成本') : 0.125000
('用户', '模式', '个性化', '保留') : 0.115132
('商场', '手段', '购物券', '销售额') : 0.105263
('打折', '规则', '商品', '促销') : 0.115132
('数据', '避免', '制造业', '利润') : 0.121711
('用户', '保险公司', '利润', '成本') : 0.108553
('避免', '购买', '道德风险', '商品') : 0.105263
('数据', '避免', '保险公司', '道德风险') : 0.134868
('数据', '利润', '提高质量', '成本') : 0.121711
('个性化', '模式', '客户', '电子商务') : 0.115132
('用户', '网站', '电子商务', '保留') : 0.118421
('数据', '避免', '半导体', '提高质量') : 0.121711
